Id,Team,Title,Description,Status,Estimate,Priority,Project,Creator,Assignee,Labels,Cycle Number,Cycle Name,Cycle Start,Cycle End,Created,Updated,Started,Completed,Canceled,Archived
1,SimpleAM,Align Mission & Market Positioning,"## Context
Document the mission narrative and disruption framing so marketing and product share the same north star.

## Acceptance Criteria
- Mission and redefine-athlete-management story captured for reuse.
- Competitive differentiation vs Kitman Labs/Teamworks distilled into concise bullets.
- Cost-leadership + AI leverage messaging ready for site/pitch.

## Source
documents/simpleam.app.md:1
- documents/simpleam.app.md:11
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Foundations, Area::Messaging",,,,,2025-11-04,2025-11-04,,,,
2,SimpleAM,Codify Product Principles & Naming Guardrails,"## Context
Turn guiding principles (buy-vs-build, modularity, naming) into guardrails teams can reference.

## Acceptance Criteria
- Principles summarized with practical examples.
- Checklist established for feature/design reviews.
- Shared doc linked from design system hub.

## Source
documents/simpleam.app.md:25
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Foundations, Area::Product",,,,,2025-11-04,2025-11-04,,,,
3,SimpleAM,Define Marketing Website Structure & Messaging,"## Context
Lay out website IA, hero messaging, and community CTA plan supporting the low-cost positioning.

## Acceptance Criteria
- Navigation covering About, Offerings, Community, Roadmap finalized.
- Copy pillars reinforce 'Ryanair/Dollar Shave Club for sports software'.
- Community channel CTA owners identified with next steps.

## Source
documents/simpleam.app.md:55
- documents/simpleam.app.md:262
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Foundations, Area::Website",,,,,2025-11-04,2025-11-04,,,,
4,SimpleAM,Design Authentication & Onboarding Flow,"## Context
Detail signup, invite, org switching, and project structure expectations for implementation.

## Acceptance Criteria
- Flow diagrams for new org creation, invites, org switching signed off.
- Decision on magic links vs password for players documented; SSO backlog captured.
- Project structure section completed with apps/packages breakdown.

## Source
documents/simpleam.app.md:272
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Platform, Area::Auth",,,,,2025-11-04,2025-11-04,,,,
5,SimpleAM,Specify Global Search Experience,"## Context
Define what entities are indexed, how filtering works, and UI states for global search.

## Acceptance Criteria
- Indexable entities list with metadata and security considerations.
- Search UI states (empty/results/no results) wireframed.
- Preferred search backend (Supabase pg_search vs external) chosen with notes.

## Source
documents/simpleam.app.md:334
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Platform, Area::Search",,,,,2025-11-04,2025-11-04,,,,
6,SimpleAM,Architect Social Media & Notification Integrations,"## Context
Finalize architecture for WhatsApp/Instagram/Telegram notifications plus consent handling.

## Acceptance Criteria
- Sequence diagrams for each channel reviewed with engineering.
- Provider decisions (Meta vs BSP) documented with cost/effort tradeoffs.
- Consent storage, rate limiting, and fallback rules captured with sample code snippets.

## Source
documents/simpleam.app.md:336
- documents/simpleam.app.md:392
- documents/simpleam.app.md:512
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Platform, Area::Notifications",,,,,2025-11-04,2025-11-04,,,,
7,SimpleAM,Build Players Module,"## Context
Implement squad list, player profiles, activity hub, and cross-org linking per spec.

## Acceptance Criteria
- Roster view with filters, search, bulk actions, and export live.
- Tabbed player profile (Overview, Forms, Events, Performance, Notes, Files) wired to data.
- Cross-organization player visibility enforced via RLS and tagging.
- Responsive card layout for mobile delivered.

## Source
documents/simpleam.app.md:1180
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Players",,,,,2025-11-04,2025-11-04,,,,
8,SimpleAM,Build Staff Module,"## Context
Ship staff directory, role and permission management, and cross-org membership controls.

## Acceptance Criteria
- Staff table with filters for roles and permissions released.
- Profile view surfaces quick actions and activity log.
- Permission matrix enforced through Supabase RLS helpers.

## Source
documents/simpleam.app.md:5176
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Staff",,,,,2025-11-04,2025-11-04,,,,
9,SimpleAM,Build Forms Module,"## Context
Deliver form builder, distribution workflows, magic links, tracking dashboard, and AI assist.

## Acceptance Criteria
- Drag-and-drop builder and JSON renderer built with React Hook Form + Zod.
- Distribution engine supports one-time, scheduled, and event-triggered sends via BullMQ.
- Magic link experience with Resend integration and expirations working end-to-end.
- Completion dashboard with reminders and export implemented.
- AI-generated template flow available for staff users.

## Source
documents/simpleam.app.md:5010
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Forms",,,,,2025-11-04,2025-11-04,,,,
10,SimpleAM,Build Notes Module,"## Context
Launch rich-text notes with privacy modes, entity linking, search, and AI summarization.

## Acceptance Criteria
- Tiptap-based editor with public, role-gated, and private visibility live.
- Notes surface in entity views, global list, and reports leveraging shared component.
- Search/filter UI (author, visibility, entity, tag) implemented.
- AI workflows for summarizing and creating notes functioning with permissions respected.

## Source
documents/simpleam.app.md:1767
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Notes",,,,,2025-11-04,2025-11-04,,,,
